body,bodyId,ordinal,preShadowStartDegree,preShadowStartJulianDayUT,preShadowStartUTC,retrogradeStationDegree,retrogradeStationJulianDayUT,retrogradeStationUTC,directStationDegree,directStationJulianDayUT,directStationUTC,postShadowEndDegree,postShadowEndJulianDayUT,postShadowEndUTC
Uranus,7,3,311.2000793053718,2298175.029901415,1580-02-02T12:43:03.482Z,315.1260255238484,2298282.335530813,1580-05-19T20:03:09.862Z,311.2000793053718,2298436.530210669,1580-10-21T00:43:30.202Z,315.1260255238484,2298542.46756983,1581-02-03T23:13:18.033Z
Saturn,6,3,310.25026486429095,2298191.8949730136,1580-02-19T09:28:45.668Z,316.9046212972097,2298289.785456039,1580-05-27T06:51:03.402Z,310.25026486429095,2298430.2375280336,1580-10-14T17:42:02.422Z,316.9046212972097,2298526.1275520734,1581-01-18T15:03:40.499Z
Pluto,9,3,1.738649415915132,2298205.2397893835,1580-03-03T17:45:17.803Z,3.80605905450878,2298327.388999141,1580-07-03T21:20:09.526Z,1.738649415915132,2298492.387495837,1580-12-15T21:17:59.640Z,3.80605905450878,2298612.700245222,1581-04-15T04:48:21.187Z
Mercury,2,10,79.34443224386705,2298280.3334188126,1580-05-17T20:00:07.385Z,88.18908516452203,2298295.7704119906,1580-06-02T06:29:23.596Z,79.34443224386705,2298319.825559087,1580-06-26T07:48:48.305Z,88.18908516452203,2298334.3930830397,1580-07-10T21:26:02.375Z
Neptune,8,4,103.11528092823896,2298321.2029647455,1580-06-27T16:52:16.154Z,105.92892290178578,2298434.467372806,1580-10-18T23:13:01.010Z,103.11528092823896,2298590.9469523234,1581-03-24T10:43:36.681Z,105.92892290178578,2298704.6484648623,1581-07-16T03:33:47.364Z
Venus,3,2,186.75666303271026,2298369.6320104487,1580-08-15T03:10:05.703Z,202.48633978922692,2298402.536029851,1580-09-17T00:51:52.979Z,186.75666303271026,2298444.445982987,1580-10-28T22:42:12.930Z,202.48633978922692,2298476.3312189505,1580-11-29T19:56:57.317Z
Mars,4,1,58.57545557691177,2298380.054780757,1580-08-25T13:18:53.057Z,75.96996218937359,2298436.4033505833,1580-10-20T21:40:49.490Z,58.57545557691177,2298510.4627971025,1581-01-02T23:06:25.670Z,75.96996218937359,2298572.4931094144,1581-03-05T23:50:04.653Z
Mercury,2,11,191.40049133635713,2298394.460031461,1580-09-08T23:02:26.718Z,206.99418775418238,2298414.7663133442,1580-09-29T06:23:29.473Z,191.40049133635713,2298435.795359865,1580-10-20T07:05:19.092Z,206.99418775418238,2298451.570926469,1580-11-05T01:42:08.047Z
Mercury,2,12,296.09947127139117,2298507.9888055734,1580-12-31T11:43:52.802Z,311.83764707770507,2298523.6793999225,1581-01-16T04:18:20.153Z,296.09947127139117,2298544.7012434825,1581-02-06T04:49:47.437Z,311.83764707770507,2298564.870568689,1581-02-26T08:53:37.135Z
Uranus,7,4,315.23000235433244,2298544.260269534,1581-02-05T18:14:47.288Z,319.15161932616286,2298651.683175252,1581-05-24T04:23:46.342Z,315.23000235433244,2298805.862545115,1581-10-25T08:42:03.898Z,319.15161932616286,2298911.807128815,1582-02-08T07:22:15.930Z
Jupiter,5,4,277.48861596551194,2298546.7917507403,1581-02-08T07:00:07.264Z,287.32265855992136,2298632.595346354,1581-05-05T02:17:17.925Z,277.48861596551194,2298754.1738239527,1581-09-03T16:10:18.390Z,287.32265855992136,2298838.7751443125,1581-11-27T06:36:12.469Z
Saturn,6,4,322.075392353504,2298569.606298562,1581-03-03T02:33:04.196Z,328.75883197461377,2298667.4955757335,1581-06-08T23:53:37.743Z,322.075392353504,2298807.239608638,1581-10-26T17:45:02.186Z,328.75883197461377,2298902.7017959394,1582-01-30T04:50:35.169Z
Pluto,9,4,2.8143562792480163,2298571.515290411,1581-03-05T00:22:01.092Z,4.8766417433867755,2298693.6856654054,1581-07-05T04:27:21.491Z,2.8143562792480163,2298858.7620636867,1581-12-17T06:17:22.303Z,4.8766417433867755,2298979.0937843826,1582-04-16T14:15:02.971Z
Mercury,2,13,59.60572129284118,2298626.820372898,1581-04-29T07:41:20.218Z,68.1760762656865,2298641.3698403835,1581-05-13T20:52:34.209Z,59.60572129284118,2298665.247994356,1581-06-06T17:57:06.712Z,68.1760762656865,2298680.4239697643,1581-06-21T22:10:30.988Z
Neptune,8,5,105.3376120291998,2298688.703700863,1581-06-30T04:53:19.755Z,108.15081602162691,2298801.9300386077,1581-10-21T10:19:15.336Z,105.3376120291998,2298958.450659695,1582-03-26T22:48:56.998Z,108.15081602162691,2299072.1934376378,1582-07-18T16:38:33.012Z
Mercury,2,14,175.54850744841983,2298742.4513211064,1581-08-22T22:49:54.144Z,190.6316651442226,2298762.832546003,1581-09-12T07:58:51.975Z,175.54850744841983,2298784.6298153102,1581-10-04T03:06:56.043Z,190.6316651442226,2298799.7367218025,1581-10-19T05:40:52.764Z
Mercury,2,15,279.6628475075207,2298856.071295079,1581-12-14T13:42:39.895Z,295.7636450004431,2298872.5532874167,1581-12-31T01:16:44.033Z,279.6628475075207,2298892.9622188136,1582-01-20T11:05:35.705Z,295.7636450004431,2298912.8596150987,1582-02-09T08:37:50.745Z
Uranus,7,5,319.24756406165665,2298913.4638588503,1582-02-09T23:07:57.405Z,323.16698960354734,2299021.0978964297,1582-05-28T14:20:58.252Z,319.24756406165665,2299175.1763840998,1582-10-29T16:13:59.586Z,323.16698960354734,2299281.157483831,1583-02-12T15:46:46.603Z
Pluto,9,5,3.885111644649468,2298937.7747610956,1582-03-06T06:35:39.359Z,5.942549841086511,2299059.91463779,1582-07-06T09:57:04.705Z,3.885111644649468,2299225.208430742,1582-12-18T17:00:08.416Z,5.942549841086511,2299345.4893964576,1583-04-17T23:44:43.854Z
Saturn,6,5,334.1588586060907,2298947.6858401336,1582-03-16T04:27:36.588Z,340.87771705862946,2299045.4839733094,1582-06-21T23:36:55.294Z,334.1588586060907,2299184.4644817114,1582-11-07T23:08:51.220Z,340.87771705862946,2299279.4879223444,1583-02-10T23:42:36.491Z
Jupiter,5,5,312.25021276488366,2298949.260638114,1582-03-17T18:15:19.133Z,322.1023273353756,2299034.4639838263,1582-06-10T23:08:08.203Z,312.25021276488366,2299154.2110234797,1582-10-08T17:03:52.429Z,322.1023273353756,2299237.1958644055,1582-12-30T16:42:02.685Z
Venus,3,3,47.82007126285918,2298955.330543395,1582-03-23T19:55:58.949Z,64.32782899603215,2298988.661962958,1582-04-26T03:53:13.600Z,47.82007126285918,2299031.5960488413,1582-06-08T02:18:18.620Z,64.32782899603215,2299065.5104399957,1582-07-12T00:15:02.016Z
Mercury,2,16,39.40853676514466,2298972.9834727608,1582-04-10T11:36:12.047Z,48.58872304756401,2298986.988641195,1582-04-24T11:43:38.599Z,39.40853676514466,2299010.8343370333,1582-05-18T08:01:26.720Z,48.58872304756401,2299026.9291016944,1582-06-03T10:17:54.386Z
Neptune,8,6,107.55908213702938,2299056.229812689,1582-07-02T17:30:55.816Z,110.3712695890653,2299169.4021196896,1582-10-23T21:39:03.141Z,107.55908213702938,2299325.881333058,1583-03-29T09:09:07.176Z,110.3712695890653,2299439.711468136,1583-07-21T05:04:30.847Z
Mercury,2,17,159.50024888615965,2299090.5351520665,1582-08-06T00:50:37.139Z,173.83898453349218,2299110.6449633464,1582-08-26T03:28:44.833Z,159.50024888615965,2299133.261988409,1582-09-17T18:17:15.799Z,173.83898453349218,2299147.8358086236,1582-10-02T08:03:33.865Z
Mars,4,2,97.75915865891581,2299142.432771269,1582-09-26T22:23:11.438Z,116.88730326468867,2299205.0845111767,1582-11-28T14:01:41.766Z,97.75915865891581,2299284.048857973,1583-02-15T13:10:21.329Z,116.88730326468867,2299351.121648131,1583-04-23T14:55:10.399Z
