body,startCelestialTimeDegrees,endCelestialTimeDegrees,startOffsetSeconds,endOffsetSeconds,startJulianDay,endJulianDay,userFacingMotion
NorthNode,344.362760918,344.149411156,56124202,56875241,2297821.326534520835,2297830.019123293459,retrograde
Venus,355.042310241,338.881268533,56231466,59848543,2297822.568025378510,2297864.432340795174,retrograde
Mercury,344.670784010,330.527350671,56568173,58512364,2297826.465097442269,2297848.967297539115,retrograde
Jupiter,223.581461815,213.700964305,57352909,68025352,2297835.547683745623,2297959.071327090263,retrograde
NorthNode,344.197373000,344.184794683,57397411,57811753,2297836.062757832929,2297840.858380681835,retrograde
NorthNode,344.186140397,344.110846423,57994615,58703299,2297842.974832923152,2297851.177199902944,retrograde
NorthNode,344.192992631,343.963975135,59242509,59927421,2297857.418056974187,2297865.345273469575,retrograde
NorthNode,344.050327412,343.357552776,60351222,61273810,2297870.250376936980,2297880.928487421013,retrograde
NorthNode,343.419737377,342.700264001,61607178,62460637,2297884.786907497793,2297894.664903719909,retrograde
NorthNode,342.728217769,341.237126346,62695143,63832651,2297897.379099521786,2297910.544695322402,retrograde
NorthNode,341.242148867,340.127708510,63959012,64999860,2297912.007207107730,2297924.054060804658,retrograde
Saturn,305.272791983,298.641058729,63987824,76165841,2297912.340679921210,2298053.289949387312,retrograde
Uranus,311.088756250,307.158167508,64036850,77368281,2297912.908112588339,2298067.207080959342,retrograde
NorthNode,340.127796160,338.330998522,65032019,66297750,2297924.426274210215,2297939.075935330242,retrograde
NorthNode,338.332403725,337.294718284,66379532,67372931,2297940.022486177273,2297951.520162153989,retrograde
Mercury,108.097366561,98.236097747,67222228,69315122,2297949.775909379125,2297973.999227494001,retrograde
NorthNode,337.307296619,336.016480715,67548704,68635342,2297953.554568913765,2297966.131397029385,retrograde
Pluto,2.731007406,0.658312421,68199829,82455718,2297961.090739681385,2298126.089455359615,retrograde
NorthNode,336.058287951,335.475289357,68914841,69728092,2297969.366337656043,2297978.778968527913,retrograde
NorthNode,335.550362422,335.041324387,70105909,70982140,2297983.151855094358,2297993.293416147120,retrograde
NorthNode,335.124640952,334.980083141,71442535,72093620,2297998.622057287022,2298006.157770119607,retrograde
NorthNode,335.036423004,335.023995054,72671796,73089782,2298012.849620388821,2298017.687420651317,retrograde
NorthNode,335.027193148,334.969173082,73340916,73966787,2298020.594067889266,2298027.837937777862,retrograde
NorthNode,335.033004168,334.738887671,74459218,75244356,2298033.537374014035,2298042.624619885348,retrograde
NorthNode,334.840836111,334.340993870,75703753,76493761,2298047.941708560102,2298057.085320971906,retrograde
NorthNode,334.399669118,333.325550170,76813172,77820404,2298060.782209659927,2298072.439985491335,retrograde
Mercury,223.064421098,207.136604676,77305092,79067258,2298066.475730620325,2298086.871168762445,retrograde
Neptune,103.704269799,100.890839548,77355415,90872815,2298067.058165636845,2298223.509555063210,retrograde
NorthNode,333.355651162,332.275005711,78061022,79027824,2298075.224921665154,2298086.414758219384,retrograde
NorthNode,332.280356792,330.456094022,79152166,80392776,2298087.853898564354,2298102.212816528976,retrograde
NorthNode,330.456101584,329.173035505,80406838,81486625,2298102.375569693744,2298114.873103383929,retrograde
NorthNode,329.174934060,327.474915580,81573371,82741420,2298115.877100849524,2298129.396193999797,retrograde
NorthNode,327.499427110,326.656020459,82960695,83835339,2298131.934101684950,2298142.057290154509,retrograde
NorthNode,326.708032160,325.872532183,84130380,85083729,2298145.472122319974,2298156.506247349083,retrograde
NorthNode,325.970841264,325.705608592,85514696,86201594,2298161.494299268350,2298169.444501741789,retrograde
Mercury,328.106096955,313.001867108,86676181,88555322,2298174.937405355275,2298196.686726495624,retrograde
NorthNode,325.787720288,325.675121741,86697941,87437055,2298175.189257372171,2298183.743817803450,retrograde
NorthNode,325.682827198,325.678266528,87774648,88056392,2298187.651150697842,2298190.912076714449,retrograde
NorthNode,325.716911324,325.556488886,88573759,89272286,2298196.900120059028,2298204.984918867238,retrograde
NorthNode,325.668312345,325.243991958,89797236,90588637,2298211.060730009340,2298220.220468337648,retrograde
NorthNode,325.310265622,324.523181997,90935222,91848756,2298224.231863199733,2298234.805177971721,retrograde
Jupiter,254.600449036,244.753299660,91683410,102306605,2298232.891450829804,2298355.845096722245,retrograde
NorthNode,324.574128963,323.563352883,92152643,93115774,2298238.322386682034,2298249.469729636796,retrograde
NorthNode,323.574814613,322.092998902,93279824,94421859,2298251.368459487334,2298264.586457622238,retrograde
NorthNode,322.094085813,320.799606256,94498593,95613682,2298265.474585451186,2298278.380700338632,retrograde
NorthNode,320.799681125,319.201471397,95643386,96837551,2298278.724497665651,2298292.545861253515,retrograde
Uranus,315.126025524,311.200079305,95955379,109277799,2298282.335530812852,2298436.530210669152,retrograde
