body,celestialTimeDegrees,utOffsetSeconds,utJulianDay,sequenceBefore,sequenceAfter,userFacingStation
NorthNode,20.538074053,23233,2297172.009768280201,decreasing,increasing,station_direct
Uranus,302.974116445,204832,2297174.111604192294,increasing,decreasing,station_retrograde
NorthNode,20.610142449,419927,2297176.601133157499,increasing,decreasing,station_retrograde
NorthNode,20.096805032,1251397,2297186.224632213823,decreasing,increasing,station_direct
NorthNode,20.173893064,1627363,2297190.576085885055,increasing,decreasing,station_retrograde
NorthNode,19.343252079,2546939,2297201.219322699122,decreasing,increasing,station_direct
NorthNode,19.368756103,2771237,2297203.815370818600,increasing,decreasing,station_retrograde
NorthNode,18.180183121,3820105,2297215.955046381801,decreasing,increasing,station_direct
NorthNode,18.188469957,3975500,2297217.753593698144,increasing,decreasing,station_retrograde
Pluto,0.564219164,4883928,2297228.267814791761,increasing,decreasing,station_retrograde
NorthNode,16.905080628,5068701,2297230.406384965405,decreasing,increasing,station_direct
NorthNode,16.905266458,5109034,2297230.873207030818,increasing,decreasing,station_retrograde
Venus,133.169936994,5430573,2297234.594720052555,increasing,decreasing,station_retrograde
NorthNode,15.336616238,6316068,2297244.843507473357,decreasing,increasing,station_direct
NorthNode,15.337487911,6387819,2297245.673963511363,increasing,decreasing,station_retrograde
Mercury,146.033151991,7306171,2297256.303029157221,increasing,decreasing,station_retrograde
NorthNode,14.140449600,7445471,2297257.915303062648,decreasing,increasing,station_direct
NorthNode,14.149071388,7594596,2297259.641279877163,increasing,decreasing,station_retrograde
NorthNode,12.903775660,8657192,2297271.939850163646,decreasing,increasing,station_direct
NorthNode,12.949498435,8950227,2297275.331459143199,increasing,decreasing,station_retrograde
Venus,116.744854501,9150379,2297277.648031556979,decreasing,increasing,station_direct
Mercury,133.412756229,9354886,2297280.015016481280,decreasing,increasing,station_direct
NorthNode,12.285806162,9796051,2297285.121088153683,decreasing,increasing,station_direct
NorthNode,12.345903793,10127836,2297288.961191652343,increasing,decreasing,station_retrograde
NorthNode,11.797448470,11004943,2297299.112898040563,decreasing,increasing,station_direct
Saturn,275.873658405,11060761,2297299.758934199810,decreasing,increasing,station_direct
NorthNode,11.903267640,11505982,2297304.911955785938,increasing,decreasing,station_retrograde
NorthNode,11.741004050,12162906,2297312.515244725160,decreasing,increasing,station_direct
NorthNode,11.792828216,12672856,2297318.417438854463,increasing,decreasing,station_retrograde
NorthNode,11.766436010,13220053,2297324.750734927133,decreasing,increasing,station_direct
