body,celestialTimeDegrees,utOffsetSeconds,utJulianDay,sequenceBefore,sequenceAfter,userFacingStation
NorthNode,11.767036350,13359346,2297326.362923928536,increasing,decreasing,station_retrograde
Uranus,299.031922034,13541774,2297328.474361584522,decreasing,increasing,station_direct
Neptune,99.245448471,13860166,2297332.159451381303,increasing,decreasing,station_retrograde
NorthNode,11.701994298,14054367,2297334.407149242237,decreasing,increasing,station_direct
NorthNode,11.763918326,14536081,2297339.982543531805,increasing,decreasing,station_retrograde
NorthNode,11.535584243,15232199,2297348.039469879121,decreasing,increasing,station_direct
NorthNode,11.648720652,15714717,2297353.624169372022,increasing,decreasing,station_retrograde
NorthNode,11.002038821,16596602,2297363.831170089543,decreasing,increasing,station_direct
NorthNode,11.056605459,16900287,2297367.346045231447,increasing,decreasing,station_retrograde
Mercury,254.793140869,17070813,2297369.319719329476,increasing,decreasing,station_retrograde
NorthNode,10.185326401,17805888,2297377.827539483085,decreasing,increasing,station_direct
NorthNode,10.220959492,18063378,2297380.807748431340,increasing,decreasing,station_retrograde
Mercury,238.526915887,18777692,2297389.075263723731,decreasing,increasing,station_direct
NorthNode,8.831312775,19134250,2297393.202089798637,decreasing,increasing,station_direct
Pluto,358.481351791,19164353,2297393.550509293564,decreasing,increasing,station_direct
NorthNode,8.835404440,19245385,2297394.488375677727,increasing,decreasing,station_retrograde
NorthNode,7.332830683,20388578,2297407.719775410369,decreasing,increasing,station_direct
NorthNode,7.332841997,20404908,2297407.908789356239,increasing,decreasing,station_retrograde
NorthNode,5.753757047,21578316,2297421.489890017547,decreasing,increasing,station_direct
NorthNode,5.756087171,21669972,2297422.550733105280,increasing,decreasing,station_retrograde
NorthNode,4.347261383,22744291,2297434.984977087006,decreasing,increasing,station_direct
NorthNode,4.374048968,22974970,2297437.654874789529,increasing,decreasing,station_retrograde
Jupiter,193.529021564,23152715,2297439.712111927569,increasing,decreasing,station_retrograde
NorthNode,3.396331368,23920415,2297448.597522744909,decreasing,increasing,station_direct
NorthNode,3.444359331,24205376,2297451.895683212206,increasing,decreasing,station_retrograde
NorthNode,2.735627903,25093142,2297462.170757119544,decreasing,increasing,station_direct
NorthNode,2.845756890,25552699,2297467.489695589058,increasing,decreasing,station_retrograde
NorthNode,2.557259105,26281655,2297475.926694100723,decreasing,increasing,station_direct
Mercury,1.659928463,26498134,2297478.432229422033,increasing,decreasing,station_retrograde
NorthNode,2.625817833,26743688,2297481.274294619448,increasing,decreasing,station_retrograde
Neptune,96.432939981,27372043,2297488.546916707419,decreasing,increasing,station_direct
NorthNode,2.520452280,27448836,2297489.435728984885,decreasing,increasing,station_direct
NorthNode,2.532582356,27851104,2297494.091604684480,increasing,decreasing,station_retrograde
NorthNode,2.528843900,28116973,2297497.168800195679,decreasing,increasing,station_direct
Mercury,348.805759267,28499122,2297501.591811433434,decreasing,increasing,station_direct
NorthNode,2.567726980,28654133,2297503.385928887874,increasing,decreasing,station_retrograde
NorthNode,2.447459779,29287041,2297510.711252833717,decreasing,increasing,station_direct
NorthNode,2.548479574,29803523,2297516.689052345231,increasing,decreasing,station_retrograde
NorthNode,2.062751446,30667455,2297526.688266200013,decreasing,increasing,station_direct
NorthNode,2.129604418,31022973,2297530.803055110388,increasing,decreasing,station_retrograde
Saturn,293.815731098,31406100,2297535.237390331924,increasing,decreasing,station_retrograde
NorthNode,1.550761781,31837734,2297540.233159434982,decreasing,increasing,station_direct
Uranus,307.038975861,32124014,2297543.546588332392,increasing,decreasing,station_retrograde
NorthNode,1.604433115,32151265,2297543.861995104700,increasing,decreasing,station_retrograde
NorthNode,0.390177904,33205060,2297556.058686706237,decreasing,increasing,station_direct
NorthNode,0.402777037,33376632,2297558.044473754242,increasing,decreasing,station_retrograde
Jupiter,183.601326002,33799748,2297562.941657885909,decreasing,increasing,station_direct
NorthNode,359.297691048,34396084,2297569.843687955290,decreasing,increasing,station_direct
NorthNode,359.299764062,34491971,2297570.953495441005,increasing,decreasing,station_retrograde
NorthNode,357.667881266,35714446,2297585.102513337508,decreasing,increasing,station_direct
NorthNode,357.667902768,35734103,2297585.330026286654,increasing,decreasing,station_retrograde
Pluto,1.650598201,36545125,2297594.716846789233,increasing,decreasing,station_retrograde
NorthNode,356.417953928,36832122,2297598.038578063250,decreasing,increasing,station_direct
NorthNode,356.422875698,36961423,2297599.535115684383,increasing,decreasing,station_retrograde
Mercury,127.447160173,37284465,2297603.274027854204,increasing,decreasing,station_retrograde
NorthNode,355.107240236,38051279,2297612.149184740148,decreasing,increasing,station_direct
NorthNode,355.127584067,38256600,2297614.525586036965,increasing,decreasing,station_retrograde
NorthNode,354.270521213,39180296,2297625.216517969035,decreasing,increasing,station_direct
Mercury,116.206692097,39368580,2297627.395727090538,decreasing,increasing,station_direct
NorthNode,354.337474493,39530216,2297629.266515444964,increasing,decreasing,station_retrograde
NorthNode,353.725145035,40399385,2297639.326337548904,decreasing,increasing,station_direct
NorthNode,353.795885457,40779300,2297643.723508197814,increasing,decreasing,station_retrograde
NorthNode,353.489523579,41536971,2297652.492849895731,decreasing,increasing,station_direct
Mars,17.742429327,41771266,2297655.204594493844,increasing,decreasing,station_retrograde
NorthNode,353.587390916,42099572,2297659.004429450259,increasing,decreasing,station_retrograde
NorthNode,353.500846896,42762978,2297666.682745919563,decreasing,increasing,station_direct
NorthNode,353.511996775,43174067,2297671.440721914172,increasing,decreasing,station_retrograde
NorthNode,353.511538045,43305970,2297672.967378113419,decreasing,increasing,station_direct
Saturn,287.200069202,43609458,2297676.479968704283,decreasing,increasing,station_direct
NorthNode,353.549193468,43895733,2297679.793329522945,increasing,decreasing,station_retrograde
NorthNode,353.367441035,44666277,2297688.711663723923,decreasing,increasing,station_direct
NorthNode,353.452841857,45133753,2297694.122265386395,increasing,decreasing,station_retrograde
Uranus,303.102439249,45453666,2297697.824970264919,decreasing,increasing,station_direct
Neptune,101.476627836,45608039,2297699.611694565974,increasing,decreasing,station_retrograde
NorthNode,353.130777735,45844779,2297702.351735902950,decreasing,increasing,station_direct
NorthNode,353.219697452,46248036,2297707.019061719999,increasing,decreasing,station_retrograde
Mercury,238.962773652,47195485,2297717.984910756350,increasing,decreasing,station_retrograde
NorthNode,352.290303260,47228051,2297718.361831580289,decreasing,increasing,station_direct
Mars,5.038890871,47362860,2297719.922117558308,decreasing,increasing,station_direct
NorthNode,352.332160246,47497826,2297721.484227897599,increasing,decreasing,station_retrograde
NorthNode,351.430342172,48396743,2297731.888351089321,decreasing,increasing,station_direct
NorthNode,351.447457806,48589352,2297734.117630703375,increasing,decreasing,station_retrograde
Mercury,222.820903283,48919720,2297737.941333986819,decreasing,increasing,station_direct
NorthNode,349.687998025,49782281,2297747.924671681598,decreasing,increasing,station_direct
NorthNode,349.688710917,49844571,2297748.645619180985,increasing,decreasing,station_retrograde
Pluto,359.572724647,50809575,2297759.814649694599,decreasing,increasing,station_direct
NorthNode,348.386209853,50925467,2297761.155994931236,decreasing,increasing,station_direct
NorthNode,348.386367707,50964139,2297761.603590622544,increasing,decreasing,station_retrograde
NorthNode,346.589363767,52178425,2297775.657828049734,decreasing,increasing,station_direct
NorthNode,346.598612927,52328260,2297777.392024820670,increasing,decreasing,station_retrograde
NorthNode,345.558647707,53271402,2297788.308024541475,decreasing,increasing,station_direct
NorthNode,345.599988795,53541854,2297791.438251336105,increasing,decreasing,station_retrograde
NorthNode,344.616530102,54518668,2297802.743968432769,decreasing,increasing,station_direct
NorthNode,344.686405658,54865483,2297806.758030436002,increasing,decreasing,station_retrograde
NorthNode,344.254483940,55630571,2297815.613219130784,decreasing,increasing,station_direct
NorthNode,344.362760918,56124202,2297821.326534520835,increasing,decreasing,station_retrograde
Venus,355.042310241,56231466,2297822.568025378510,increasing,decreasing,station_retrograde
Mercury,344.670784010,56568173,2297826.465097442269,increasing,decreasing,station_retrograde
NorthNode,344.149411156,56875241,2297830.019123293459,decreasing,increasing,station_direct
Jupiter,223.581461815,57352909,2297835.547683745623,increasing,decreasing,station_retrograde
NorthNode,344.197373000,57397411,2297836.062757832929,increasing,decreasing,station_retrograde
NorthNode,344.184794683,57811753,2297840.858380681835,decreasing,increasing,station_direct
NorthNode,344.186140397,57994615,2297842.974832923152,increasing,decreasing,station_retrograde
Mercury,330.527350671,58512364,2297848.967297539115,decreasing,increasing,station_direct
NorthNode,344.110846423,58703299,2297851.177199902944,decreasing,increasing,station_direct
Neptune,98.663590258,59119323,2297855.992285883985,decreasing,increasing,station_direct
NorthNode,344.192992631,59242509,2297857.418056974187,increasing,decreasing,station_retrograde
Venus,338.881268533,59848543,2297864.432340795174,decreasing,increasing,station_direct
NorthNode,343.963975135,59927421,2297865.345273469575,decreasing,increasing,station_direct
NorthNode,344.050327412,60351222,2297870.250376936980,increasing,decreasing,station_retrograde
NorthNode,343.357552776,61273810,2297880.928487421013,decreasing,increasing,station_direct
NorthNode,343.419737377,61607178,2297884.786907497793,increasing,decreasing,station_retrograde
NorthNode,342.700264001,62460637,2297894.664903719909,decreasing,increasing,station_direct
NorthNode,342.728217769,62695143,2297897.379099521786,increasing,decreasing,station_retrograde
NorthNode,341.237126346,63832651,2297910.544695322402,decreasing,increasing,station_direct
NorthNode,341.242148867,63959012,2297912.007207107730,increasing,decreasing,station_retrograde
Saturn,305.272791983,63987824,2297912.340679921210,increasing,decreasing,station_retrograde
Uranus,311.088756250,64036850,2297912.908112588339,increasing,decreasing,station_retrograde
NorthNode,340.127708510,64999860,2297924.054060804658,decreasing,increasing,station_direct
NorthNode,340.127796160,65032019,2297924.426274210215,increasing,decreasing,station_retrograde
NorthNode,338.330998522,66297750,2297939.075935330242,decreasing,increasing,station_direct
NorthNode,338.332403725,66379532,2297940.022486177273,increasing,decreasing,station_retrograde
Mercury,108.097366561,67222228,2297949.775909379125,increasing,decreasing,station_retrograde
NorthNode,337.294718284,67372931,2297951.520162153989,decreasing,increasing,station_direct
NorthNode,337.307296619,67548704,2297953.554568913765,increasing,decreasing,station_retrograde
Jupiter,213.700964305,68025352,2297959.071327090263,decreasing,increasing,station_direct
Pluto,2.731007406,68199829,2297961.090739681385,increasing,decreasing,station_retrograde
NorthNode,336.016480715,68635342,2297966.131397029385,decreasing,increasing,station_direct
NorthNode,336.058287951,68914841,2297969.366337656043,increasing,decreasing,station_retrograde
Mercury,98.236097747,69315122,2297973.999227494001,decreasing,increasing,station_direct
NorthNode,335.475289357,69728092,2297978.778968527913,decreasing,increasing,station_direct
NorthNode,335.550362422,70105909,2297983.151855094358,increasing,decreasing,station_retrograde
NorthNode,335.041324387,70982140,2297993.293416147120,decreasing,increasing,station_direct
NorthNode,335.124640952,71442535,2297998.622057287022,increasing,decreasing,station_retrograde
NorthNode,334.980083141,72093620,2298006.157770119607,decreasing,increasing,station_direct
NorthNode,335.036423004,72671796,2298012.849620388821,increasing,decreasing,station_retrograde
NorthNode,335.023995054,73089782,2298017.687420651317,decreasing,increasing,station_direct
NorthNode,335.027193148,73340916,2298020.594067889266,increasing,decreasing,station_retrograde
NorthNode,334.969173082,73966787,2298027.837937777862,decreasing,increasing,station_direct
NorthNode,335.033004168,74459218,2298033.537374014035,increasing,decreasing,station_retrograde
NorthNode,334.738887671,75244356,2298042.624619885348,decreasing,increasing,station_direct
NorthNode,334.840836111,75703753,2298047.941708560102,increasing,decreasing,station_retrograde
Saturn,298.641058729,76165841,2298053.289949387312,decreasing,increasing,station_direct
NorthNode,334.340993870,76493761,2298057.085320971906,decreasing,increasing,station_direct
NorthNode,334.399669118,76813172,2298060.782209659927,increasing,decreasing,station_retrograde
Mercury,223.064421098,77305092,2298066.475730620325,increasing,decreasing,station_retrograde
Neptune,103.704269799,77355415,2298067.058165636845,increasing,decreasing,station_retrograde
Uranus,307.158167508,77368281,2298067.207080959342,decreasing,increasing,station_direct
NorthNode,333.325550170,77820404,2298072.439985491335,decreasing,increasing,station_direct
NorthNode,333.355651162,78061022,2298075.224921665154,increasing,decreasing,station_retrograde
NorthNode,332.275005711,79027824,2298086.414758219384,decreasing,increasing,station_direct
Mercury,207.136604676,79067258,2298086.871168762445,decreasing,increasing,station_direct
NorthNode,332.280356792,79152166,2298087.853898564354,increasing,decreasing,station_retrograde
NorthNode,330.456094022,80392776,2298102.212816528976,decreasing,increasing,station_direct
NorthNode,330.456101584,80406838,2298102.375569693744,increasing,decreasing,station_retrograde
NorthNode,329.173035505,81486625,2298114.873103383929,decreasing,increasing,station_direct
NorthNode,329.174934060,81573371,2298115.877100849524,increasing,decreasing,station_retrograde
Pluto,0.658312421,82455718,2298126.089455359615,decreasing,increasing,station_direct
NorthNode,327.474915580,82741420,2298129.396193999797,decreasing,increasing,station_direct
NorthNode,327.499427110,82960695,2298131.934101684950,increasing,decreasing,station_retrograde
NorthNode,326.656020459,83835339,2298142.057290154509,decreasing,increasing,station_direct
NorthNode,326.708032160,84130380,2298145.472122319974,increasing,decreasing,station_retrograde
NorthNode,325.872532183,85083729,2298156.506247349083,decreasing,increasing,station_direct
NorthNode,325.970841264,85514696,2298161.494299268350,increasing,decreasing,station_retrograde
NorthNode,325.705608592,86201594,2298169.444501741789,decreasing,increasing,station_direct
Mercury,328.106096955,86676181,2298174.937405355275,increasing,decreasing,station_retrograde
NorthNode,325.787720288,86697941,2298175.189257372171,increasing,decreasing,station_retrograde
NorthNode,325.675121741,87437055,2298183.743817803450,decreasing,increasing,station_direct
NorthNode,325.682827198,87774648,2298187.651150697842,increasing,decreasing,station_retrograde
NorthNode,325.678266528,88056392,2298190.912076714449,decreasing,increasing,station_direct
Mercury,313.001867108,88555322,2298196.686726495624,decreasing,increasing,station_direct
NorthNode,325.716911324,88573759,2298196.900120059028,increasing,decreasing,station_retrograde
NorthNode,325.556488886,89272286,2298204.984918867238,decreasing,increasing,station_direct
NorthNode,325.668312345,89797236,2298211.060730009340,increasing,decreasing,station_retrograde
NorthNode,325.243991958,90588637,2298220.220468337648,decreasing,increasing,station_direct
Neptune,100.890839548,90872815,2298223.509555063210,decreasing,increasing,station_direct
NorthNode,325.310265622,90935222,2298224.231863199733,increasing,decreasing,station_retrograde
Jupiter,254.600449036,91683410,2298232.891450829804,increasing,decreasing,station_retrograde
NorthNode,324.523181997,91848756,2298234.805177971721,decreasing,increasing,station_direct
NorthNode,324.574128963,92152643,2298238.322386682034,increasing,decreasing,station_retrograde
NorthNode,323.563352883,93115774,2298249.469729636796,decreasing,increasing,station_direct
NorthNode,323.574814613,93279824,2298251.368459487334,increasing,decreasing,station_retrograde
NorthNode,322.092998902,94421859,2298264.586457622238,decreasing,increasing,station_direct
NorthNode,322.094085813,94498593,2298265.474585451186,increasing,decreasing,station_retrograde
NorthNode,320.799606256,95613682,2298278.380700338632,decreasing,increasing,station_direct
NorthNode,320.799681125,95643386,2298278.724497665651,increasing,decreasing,station_retrograde
Uranus,315.126025524,95955379,2298282.335530812852,increasing,decreasing,station_retrograde
Saturn,316.904621297,96599052,2298289.785456039011,increasing,decreasing,station_retrograde
NorthNode,319.201471397,96837551,2298292.545861253515,decreasing,increasing,station_direct
NorthNode,319.209144264,96987894,2298294.285931562074,increasing,decreasing,station_retrograde
Mercury,88.189085165,97116153,2298295.770411990583,increasing,decreasing,station_retrograde
NorthNode,318.218209229,97955878,2298305.489452956244,decreasing,increasing,station_direct
NorthNode,318.241456425,98172772,2298307.999800377525,increasing,decreasing,station_retrograde
NorthNode,317.216607873,99179715,2298319.654235843569,decreasing,increasing,station_direct
Mercury,79.344432244,99194517,2298319.825559087098,decreasing,increasing,station_direct
NorthNode,317.288205649,99542847,2298323.857152691111,increasing,decreasing,station_retrograde
Pluto,3.806059055,99847999,2298327.388999140821,increasing,decreasing,station_retrograde
NorthNode,316.845645557,100313465,2298332.776345508173,decreasing,increasing,station_direct
NorthNode,316.918901919,100709983,2298337.365665611811,increasing,decreasing,station_retrograde
NorthNode,316.588871666,101529318,2298346.848716639914,decreasing,increasing,station_direct
NorthNode,316.672658789,102087485,2298353.308979975991,increasing,decreasing,station_retrograde
Jupiter,244.753299660,102306605,2298355.845096722245,decreasing,increasing,station_direct
NorthNode,316.618232747,102682382,2298360.194360666908,decreasing,increasing,station_direct
NorthNode,316.623895553,102999796,2298363.868130943738,increasing,decreasing,station_retrograde
NorthNode,316.620831901,103257389,2298366.849532455206,decreasing,increasing,station_direct
NorthNode,316.675499573,103885187,2298374.115717967041,increasing,decreasing,station_retrograde
NorthNode,316.493580198,104623933,2298382.666019030847,decreasing,increasing,station_direct
NorthNode,316.565918950,105054233,2298387.646337619051,increasing,decreasing,station_retrograde
NorthNode,316.196596286,105817457,2298396.479959147051,decreasing,increasing,station_direct
NorthNode,316.292507443,106239501,2298401.364718809724,increasing,decreasing,station_retrograde
Venus,202.486339789,106340702,2298402.536029851064,increasing,decreasing,station_retrograde
NorthNode,315.497211163,107155741,2298411.969349958003,decreasing,increasing,station_direct
Mercury,206.994187754,107397398,2298414.766313344240,increasing,decreasing,station_retrograde
NorthNode,315.533980433,107412004,2298414.935360976495,increasing,decreasing,station_retrograde
NorthNode,314.485826879,108389796,2298426.252390046604,decreasing,increasing,station_direct
NorthNode,314.502857505,108587033,2298428.535233120434,increasing,decreasing,station_retrograde
Saturn,310.250264864,108734111,2298430.237528033555,decreasing,increasing,station_direct
Neptune,105.928922902,109099570,2298434.467372805811,increasing,decreasing,station_retrograde
Mercury,191.400491336,109214308,2298435.795359864831,decreasing,increasing,station_direct
Mars,75.969962189,109266839,2298436.403350583278,increasing,decreasing,station_retrograde
Uranus,311.200079305,109277799,2298436.530210669152,decreasing,increasing,station_direct
NorthNode,313.074783787,109686173,2298441.256756207906,decreasing,increasing,station_direct
NorthNode,313.075664066,109752500,2298442.024435400963,increasing,decreasing,station_retrograde
Venus,186.756663033,109961722,2298444.445982987061,decreasing,increasing,station_direct
NorthNode,311.505682076,110926449,2298455.611803336069,decreasing,increasing,station_direct
NorthNode,311.505915373,110971541,2298456.133699185215,increasing,decreasing,station_retrograde
NorthNode,310.066577399,112085689,2298469.028936565854,decreasing,increasing,station_direct
NorthNode,310.073583566,112220091,2298470.584514935501,increasing,decreasing,station_retrograde
NorthNode,308.758575901,113268202,2298482.715422458015,decreasing,increasing,station_direct
NorthNode,308.804563576,113553102,2298486.012886266224,increasing,decreasing,station_retrograde
Pluto,1.738649416,114103869,2298492.387495837174,decreasing,increasing,station_direct
NorthNode,308.012528838,114432827,2298496.194887574762,decreasing,increasing,station_direct
NorthNode,308.075267200,114758668,2298499.966188800521,increasing,decreasing,station_retrograde
NorthNode,307.507735870,115617786,2298509.909685029648,decreasing,increasing,station_direct
Mars,58.575455577,115665575,2298510.462797102518,decreasing,increasing,station_direct
NorthNode,307.624824050,116128286,2298515.818252685480,increasing,decreasing,station_retrograde
NorthNode,307.449962133,116798960,2298523.580684742890,decreasing,increasing,station_direct
Mercury,311.837647078,116807489,2298523.679399922490,increasing,decreasing,station_retrograde
NorthNode,307.499980582,117305257,2298529.440606477670,increasing,decreasing,station_retrograde
NorthNode,307.480903538,117774176,2298534.867909869179,decreasing,increasing,station_direct
NorthNode,307.482780702,117975702,2298537.200383136980,increasing,decreasing,station_retrograde
Mercury,296.099471271,118623776,2298544.701243482530,decreasing,increasing,station_direct
NorthNode,307.399281830,118691305,2298545.482826513238,decreasing,increasing,station_direct
NorthNode,307.468145772,119174164,2298551.071473604068,increasing,decreasing,station_retrograde
NorthNode,307.230390323,119860513,2298559.015322210267,decreasing,increasing,station_direct
NorthNode,307.339285415,120327911,2298564.425025719218,increasing,decreasing,station_retrograde
NorthNode,306.631750448,121240646,2298574.989089551382,decreasing,increasing,station_direct
NorthNode,306.683464393,121539285,2298578.445551468059,increasing,decreasing,station_retrograde
NorthNode,305.871849882,122424316,2298588.688964330591,decreasing,increasing,station_direct
Neptune,103.115280928,122619406,2298590.946952323429,decreasing,increasing,station_direct
NorthNode,305.903721059,122673835,2298591.576915873215,increasing,decreasing,station_retrograde
NorthNode,304.481031439,123777550,2298604.351402022876,decreasing,increasing,station_direct
NorthNode,304.484655161,123886362,2298605.610803731717,increasing,decreasing,station_retrograde
NorthNode,303.176857222,124992469,2298618.412958320230,decreasing,increasing,station_direct
NorthNode,303.176885337,125015012,2298618.673874726519,increasing,decreasing,station_retrograde
Jupiter,287.322658560,126217827,2298632.595346353948,increasing,decreasing,station_retrograde
NorthNode,301.596265320,126220665,2298632.628191582859,decreasing,increasing,station_direct
NorthNode,301.598026460,126306199,2298633.618170324713,increasing,decreasing,station_retrograde
Mercury,68.176076266,126975943,2298641.369840383530,increasing,decreasing,station_retrograde
NorthNode,300.373369133,127355247,2298645.759928666055,decreasing,increasing,station_direct
NorthNode,300.392715175,127565290,2298648.190987801179,increasing,decreasing,station_retrograde
Uranus,319.151619326,127867015,2298651.683175251819,increasing,decreasing,station_retrograde
NorthNode,299.359417146,128560793,2298659.713011597283,decreasing,increasing,station_direct
NorthNode,299.398332533,128828960,2298662.816796102561,increasing,decreasing,station_retrograde
Mercury,59.605721293,129039016,2298665.247994355857,decreasing,increasing,station_direct
Saturn,328.758831975,129233207,2298667.495575733483,increasing,decreasing,station_retrograde
NorthNode,298.720379437,129705652,2298672.963693296537,decreasing,increasing,station_direct
NorthNode,298.814335616,130133346,2298677.913850526325,increasing,decreasing,station_retrograde
NorthNode,298.447853012,130915915,2298686.971360982396,decreasing,increasing,station_direct
NorthNode,298.517791005,131351901,2298692.017498963512,increasing,decreasing,station_retrograde
Pluto,4.876641743,131496031,2298693.685665405355,increasing,decreasing,station_retrograde
NorthNode,298.361808765,132062018,2298700.236442031339,decreasing,increasing,station_direct
NorthNode,298.412981910,132695992,2298707.574110879563,increasing,decreasing,station_retrograde
NorthNode,298.411118728,132913108,2298710.087019782513,decreasing,increasing,station_direct
NorthNode,298.419778409,133286113,2298714.404210480861,increasing,decreasing,station_retrograde
NorthNode,298.360718906,133880313,2298721.281525441445,decreasing,increasing,station_direct
NorthNode,298.441598931,134419276,2298727.519530025311,increasing,decreasing,station_retrograde
NorthNode,298.089592759,135251224,2298737.148552786559,decreasing,increasing,station_direct
NorthNode,298.167738463,135654458,2298741.815610168502,increasing,decreasing,station_retrograde
NorthNode,297.713985919,136419257,2298750.667458093725,decreasing,increasing,station_direct
Jupiter,277.488615966,136722207,2298754.173823952675,decreasing,increasing,station_direct
NorthNode,297.782054730,136768009,2298754.703938667662,increasing,decreasing,station_retrograde
Mercury,190.631665144,137470321,2298762.832546003163,increasing,decreasing,station_retrograde
NorthNode,296.651705174,137800105,2298766.649486330338,decreasing,increasing,station_direct
NorthNode,296.674515793,138013341,2298769.117501973175,increasing,decreasing,station_retrograde
NorthNode,295.661816700,138972298,2298780.216543810442,decreasing,increasing,station_direct
NorthNode,295.667931578,139108031,2298781.787524366751,increasing,decreasing,station_retrograde
Mercury,175.548507448,139353605,2298784.629815310240,decreasing,increasing,station_direct
NorthNode,293.879405509,140340536,2298796.052622372285,decreasing,increasing,station_direct
NorthNode,293.879420103,140357581,2298796.249902034178,increasing,decreasing,station_retrograde
Neptune,108.150816022,140848344,2298801.930038607679,increasing,decreasing,station_retrograde
Uranus,315.230002354,141188113,2298805.862545114942,decreasing,increasing,station_direct
Saturn,322.075392354,141307091,2298807.239608637989,decreasing,increasing,station_direct
NorthNode,292.596818630,141445749,2298808.844438571483,decreasing,increasing,station_direct
NorthNode,292.599042091,141541132,2298809.948410102166,increasing,decreasing,station_retrograde
NorthNode,290.997435193,142688936,2298823.233185674995,decreasing,increasing,station_direct
NorthNode,291.015646393,142880912,2298825.455130462535,increasing,decreasing,station_retrograde
NorthNode,290.092511588,143794170,2298836.025239464827,decreasing,increasing,station_direct
NorthNode,290.155545136,144120627,2298839.803680635057,increasing,decreasing,station_retrograde
NorthNode,289.389269753,145033125,2298850.364994976670,decreasing,increasing,station_direct
NorthNode,289.468421285,145416092,2298854.797486575320,increasing,decreasing,station_retrograde
Pluto,2.814356279,145758631,2298858.762063686736,decreasing,increasing,station_direct
NorthNode,289.144657098,146154073,2298863.338931702077,decreasing,increasing,station_direct
NorthNode,289.248785941,146705114,2298869.716728869826,increasing,decreasing,station_retrograde
Mercury,295.763645000,146950193,2298872.553287416697,increasing,decreasing,station_retrograde
NorthNode,289.146586213,147393115,2298877.679697178304,decreasing,increasing,station_direct
NorthNode,289.157273270,147783295,2298882.195667675696,increasing,decreasing,station_retrograde
NorthNode,289.156165319,147949482,2298884.119129764847,decreasing,increasing,station_direct
NorthNode,289.197038685,148517600,2298890.694569338113,increasing,decreasing,station_retrograde
Mercury,279.662847508,148713525,2298892.962218813598,decreasing,increasing,station_direct
NorthNode,288.998580023,149286319,2298899.591784056276,decreasing,increasing,station_direct
NorthNode,289.094550558,149764934,2298905.131311650388,increasing,decreasing,station_retrograde
NorthNode,288.738641418,150487420,2298913.493408921175,decreasing,increasing,station_direct
NorthNode,288.821270833,150870114,2298917.922748532146,increasing,decreasing,station_retrograde
NorthNode,287.853727567,151858113,2298929.357921141200,decreasing,increasing,station_direct
NorthNode,287.894851890,152127773,2298932.478981956840,increasing,decreasing,station_retrograde
NorthNode,286.988115132,153031786,2298942.942090285942,decreasing,increasing,station_direct
NorthNode,287.002050341,153210434,2298945.009780236520,increasing,decreasing,station_retrograde
Neptune,105.337612029,154371726,2298958.450659695081,decreasing,increasing,station_direct
