body,boundary,jd_ut,utc,physical_degree,longitudinal_speed_degrees_per_day,motion,directional_degree,navigation_cell
Sun,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,44.394330229123014,0.965386133763736,direct,44.394330229123014,44
Sun,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,78.885705586069008,0.957771409288459,direct,78.885705586069008,78
Moon,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,130.817952794414339,13.994317467429422,direct,130.817952794414339,130
Moon,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,352.566123918277583,11.908593287296535,direct,352.566123918277583,352
Mercury,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,18.330229109589514,1.104951776811692,direct,18.330229109589514,18
Mercury,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,66.613927675038425,-0.259158381845219,retrograde,426.613927675038440,426
Venus,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,89.084397818778726,1.046912125095168,direct,89.084397818778726,89
Venus,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,55.109883452897805,-0.189679306475600,retrograde,415.109883452897805,415
Mars,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,79.779678049207689,0.648167710209321,direct,79.779678049207689,79
Mars,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,163.050557245404690,0.466956544253940,direct,163.050557245404690,163
Jupiter,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,153.626563883745803,0.015030493959602,direct,153.626563883745803,153
Jupiter,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,126.997211999610073,0.179517393865080,direct,126.997211999610073,126
Saturn,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,282.334184458903110,-0.021601225555621,retrograde,642.334184458903110,642
Saturn,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,263.494631299092418,-0.073599469652349,retrograde,623.494631299092362,623
Uranus,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,302.971759645337727,0.001993074446285,direct,302.971759645337727,302
Uranus,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,213.515033104354217,-0.025664364658083,retrograde,573.515033104354188,573
Neptune,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,94.892811944946558,0.025887068989966,direct,94.892811944946558,94
Neptune,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,269.187241464284796,-0.026472415446998,retrograde,629.187241464284853,629
Pluto,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,0.000000000065926,0.018775615284995,direct,0.000000000065926,0
Pluto,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,359.999999999972715,0.007779320878525,direct,359.999999999972715,359
True North Node,z21_start,2297171.740867775,1577-05-05T05:46:50.976Z,20.538700693105682,-0.004686851730106,retrograde,380.538700693105682,380
True North Node,z23_end_exclusive,2565295.0945935287,2311-06-10T14:16:12.881Z,222.705862489935129,0.006690648974723,direct,222.705862489935129,222
