body,startCelestialTimeDegrees,endCelestialTimeDegrees,startOffsetSeconds,endOffsetSeconds,startJulianDay,endJulianDay,userFacingMotion
Jupiter,243.279213751,240.919351322,0,3504159,2475819.141790453345,2475859.699183113873,retrograde
NorthNode,278.959911663,278.862235763,0,497187,2475819.141790453345,2475824.896264470182,retrograde
Uranus,242.814427458,241.727687390,0,4603407,2475819.141790453345,2475872.421962297522,retrograde
Mercury,105.909190151,96.616568821,158626,2244978,2475820.977741323411,2475845.125330969691,retrograde
Pluto,0.027709392,357.912298273,1036178,15311178,2475831.134594469331,2475996.354493028484,retrograde
NorthNode,278.889912310,278.889906376,1098512,1129763,2475831.856048548594,2475832.217751200311,retrograde
NorthNode,278.910983941,278.822646961,1670286,2301844,2475838.473809695803,2475845.783504064195,retrograde
NorthNode,278.920572157,278.550466188,2853953,3666601,2475852.173656477593,2475861.579304371029,retrograde
NorthNode,278.618187948,278.070289231,4036540,4859096,2475865.861006995663,2475875.381326071918,retrograde
NorthNode,278.136125238,277.103665711,5205183,6195133,2475879.386966869235,2475890.844714888372,retrograde
NorthNode,277.121598034,275.937151085,6389126,7426734,2475893.090011671185,2475905.099361352623,retrograde
NorthNode,275.941435574,274.427638652,7549291,8717336,2475906.517839156091,2475920.036878388375,retrograde
Venus,206.780421864,190.984099445,8243204,11870124,2475914.549240158871,2475956.527489511296,retrograde
NorthNode,274.427646283,272.951219584,8730994,9888444,2475920.194962858222,2475933.591376071796,retrograde
Neptune,94.294774037,91.478256595,9628057,23145456,2475930.577634642832,2476087.029015575536,retrograde
NorthNode,272.954815661,271.660522114,10003033,11061879,2475934.917632825673,2475947.172796173021,retrograde
Mercury,222.730877204,206.951802869,10335443,12122618,2475938.764975868165,2475959.449871875346,retrograde
NorthNode,271.678204817,270.616314999,11251590,12232911,2475949.368522777222,2475960.726408250630,retrograde
NorthNode,270.687003945,270.080682739,12580537,13413069,2475964.749852661975,2475974.385644122027,retrograde
NorthNode,270.155011853,269.784848222,13786892,14585575,2475978.712304295041,2475987.956320819445,retrograde
NorthNode,269.889401582,269.812718564,15154107,15780124,2475994.536542460322,2476001.782109478489,retrograde
Saturn,160.961067417,154.078694715,16122782,27839924,2476005.748066313565,2476141.363128811121,retrograde
NorthNode,269.821585573,269.820037151,16138165,16331135,2476005.926107664593,2476008.159561739303,retrograde
NorthNode,269.872157080,269.655487975,16943396,17718383,2476015.245912008919,2476024.215670998208,retrograde
NorthNode,269.738453402,269.364427347,18156602,18888240,2476029.287649314851,2476037.755677570589,retrograde
