body,startCelestialTimeDegrees,endCelestialTimeDegrees,startOffsetSeconds,endOffsetSeconds,startJulianDay,endJulianDay,userFacingMotion
NorthNode,269.459451468,268.484483515,19294635,20271507,2476042.459328014404,2476053.765717368573,retrograde
Mercury,327.553434646,312.098189279,19718978,21567054,2476047.370705053210,2476068.760472953320,retrograde
NorthNode,268.519328537,267.519456101,20518316,21455723,2476056.622299632058,2476067.471912461333,retrograde
NorthNode,267.533463175,265.872021063,21637141,22812497,2476069.571664919145,2476083.175321866758,retrograde
NorthNode,265.872373178,264.504716087,22861455,23974763,2476083.741967537440,2476096.627471646294,retrograde
Uranus,250.265894259,246.222893126,23362966,36562614,2476089.546492244117,2476242.320194584318,retrograde
NorthNode,264.505175171,262.947441786,24031427,25194348,2476097.283311853185,2476110.743043962866,retrograde
NorthNode,262.956751219,261.894173394,25345700,26320291,2476112.494803982787,2476123.774786608294,retrograde
NorthNode,261.938363614,261.112234641,26606757,27538095,2476127.090365286916,2476137.869738077745,retrograde
Jupiter,282.769751922,272.933149306,27304534,37861667,2476135.166484542191,2476257.355523817241,retrograde
NorthNode,261.173010789,260.716606151,27871684,28674914,2476141.730730029754,2476151.027374851517,retrograde
NorthNode,260.823909129,260.629140594,29177981,29897516,2476156.849898796529,2476165.177849704400,retrograde
Mercury,85.870343145,77.274594174,30030783,32102670,2476166.720301784575,2476190.700474031270,retrograde
NorthNode,260.678362400,260.649415188,30396483,30987527,2476170.952938099392,2476177.793718016706,retrograde
NorthNode,260.649463522,260.601441943,31048804,31740786,2476178.502948895097,2476186.511998143978,retrograde
NorthNode,260.664337236,260.491722264,32268338,32924829,2476192.617927100509,2476200.216203401797,retrograde
Pluto,1.160273381,359.050938727,32698864,46964368,2476197.600859948434,2476362.710864203982,retrograde
NorthNode,260.583689986,259.986750850,33388780,34295206,2476205.586006537080,2476216.077046235092,retrograde
NorthNode,260.048598658,259.418889229,34634531,35462155,2476220.004418819211,2476229.583395130932,retrograde
NorthNode,259.457582389,258.074776931,35733915,36840901,2476232.728766934015,2476245.541112815030,retrograde
NorthNode,258.082807513,256.976202011,36987812,38011261,2476247.241468173452,2476259.086935757659,retrograde
Mars,16.101753777,4.269468986,37961678,43414313,2476258.513063914143,2476321.622260636650,retrograde
NorthNode,256.976780005,255.178691418,38072427,39325347,2476259.794885586947,2476274.296274825931,retrograde
NorthNode,255.179163958,254.019144014,39380598,40412269,2476274.935751976445,2476286.876388431527,retrograde
Mercury,206.539771166,191.181966638,40417841,42267277,2476286.940881885588,2476308.346380196512,retrograde
NorthNode,254.029366219,252.664882481,40575198,41661846,2476288.762133243494,2476301.339081528597,retrograde
Neptune,96.526264997,93.709899354,41373488,54892745,2476298.001600042917,2476454.474489367567,retrograde
NorthNode,252.699926561,251.992089856,41913404,42764978,2476304.250628321432,2476314.106815752573,retrograde
NorthNode,252.076128566,251.532548236,43149543,44009769,2476318.557802630588,2476328.514118717052,retrograde
NorthNode,251.615706390,251.432715313,44444348,45127425,2476333.543963232078,2476341.449948601425,retrograde
NorthNode,251.501429472,251.489094896,45731133,46133204,2476348.437310373411,2476353.090916261077,retrograde
NorthNode,251.492322963,251.435551854,46376043,46976645,2476355.901543904096,2476362.852962871082,retrograde
NorthNode,251.511044040,251.152676091,47490568,48311776,2476368.801139926538,2476378.305864349008,retrograde
NorthNode,251.249300535,250.737587649,48742189,49515296,2476383.287492533214,2476392.235493079759,retrograde
Saturn,174.121608093,167.271497089,48797839,60576790,2476383.931588806212,2476520.262042388320,retrograde
NorthNode,250.801047190,249.566670068,49840533,50886750,2476395.999809546396,2476408.108806169592,retrograde
Mercury,311.397450981,295.443127312,49857419,51645892,2476396.195251740515,2476416.895164996386,retrograde
NorthNode,249.590201662,248.513413650,51101194,52062288,2476410.590800818987,2476421.714567627758,retrograde
NorthNode,248.517622471,246.610326301,52177961,53439934,2476423.053375287913,2476437.659548853524,retrograde
NorthNode,246.610333584,245.389546748,53453642,54514401,2476437.818202333525,2476450.095504509285,retrograde
NorthNode,245.392645887,243.777322056,54619323,55778754,2476451.309877472930,2476464.729219066910,retrograde
Uranus,254.719761195,250.684766805,55306122,68522647,2476459.258948541246,2476612.227980163880,retrograde
NorthNode,243.801807799,243.017547151,55998696,56865274,2476467.274849763140,2476477.304679316469,retrograde
NorthNode,243.074816685,242.326104758,57182661,58121885,2476480.978142692707,2476491.848798198625,retrograde
NorthNode,242.410013074,242.153510904,58533625,59229054,2476496.614296491258,2476504.663244803436,retrograde
Venus,68.870928817,52.388551012,58908445,62611743,2476500.952496567741,2476543.814736643806,retrograde
NorthNode,242.239222255,242.132790505,59750430,60476515,2476510.697689440101,2476519.101450488903,retrograde
Mercury,65.988731440,57.229384432,59886008,61946098,2476512.266879826784,2476536.110517747700,retrograde
NorthNode,242.144367009,242.143568359,60895455,61057278,2476523.950300773606,2476525.823248216882,retrograde
NorthNode,242.174081418,242.031155057,61596723,62318744,2476532.066825125366,2476540.423549561761,retrograde
Jupiter,316.760048215,306.916915877,61956962,72363787,2476536.236252740026,2476656.685619555414,retrograde
NorthNode,242.128290724,241.808344309,62840892,63580242,2476546.466933797114,2476555.024222166277,retrograde
NorthNode,241.878901834,241.126527565,63953610,64886264,2476559.345610975288,2476570.140214988030,retrograde
Pluto,2.286287198,0.182847898,64357958,78619533,2476564.025568342768,2476729.090086086653,retrograde
NorthNode,241.179638612,240.351937685,65200402,66103514,2476573.776075834408,2476584.228753767908,retrograde
NorthNode,240.369059828,238.860914952,66297284,67449710,2476586.471462154761,2476599.809729314409,retrograde
NorthNode,238.863334223,237.683888494,67549582,68627368,2476600.965661825612,2476613.440034820698,retrograde
NorthNode,237.683893419,235.922175401,68639466,69887967,2476613.580056305043,2476628.030301539227,retrograde
NorthNode,235.926400590,234.913531171,70007937,70974154,2476629.418836980127,2476640.601908769459,retrograde
Mercury,189.999567265,175.259809546,70480151,72399093,2476634.884276367724,2476657.094261266291,retrograde
NorthNode,234.933048163,233.726750005,71176060,72227003,2476642.938785480335,2476655.102477298118,retrograde
NorthNode,233.789249045,233.289998044,72557789,73332214,2476658.931010474451,2476667.894267229363,retrograde
Neptune,98.755965334,95.940497025,73125004,86644766,2476665.496005094610,2476821.974727273919,retrograde
NorthNode,233.372070562,232.967806370,73731133,74574966,2476672.511381802149,2476682.277971333824,retrograde
NorthNode,233.055022758,232.982776648,75100637,75701692,2476688.362124645151,2476695.318786692806,retrograde
NorthNode,232.995426211,232.994132594,76114267,76297601,2476700.093957726844,2476702.215881520882,retrograde
NorthNode,233.049553248,232.878051341,76933343,77636882,2476709.573998369277,2476717.716811475344,retrograde
NorthNode,232.956555107,232.507428448,78071992,78879431,2476722.752803185023,2476732.098170559853,retrograde
NorthNode,232.605452406,231.828407224,79291987,80171515,2476736.873116871342,2476747.052840650082,retrograde
Mercury,295.413214445,279.194953764,80003243,81745231,2476745.105251736939,2476765.267152063549,retrograde
NorthNode,231.865985285,230.599597290,80425181,81464546,2476749.988793971948,2476762.018479266204,retrograde
Saturn,186.965771504,180.151063011,81441356,93294367,2476761.750082641840,2476898.937708273530,retrograde
NorthNode,230.613009937,229.272007506,81642583,82706436,2476764.079095195979,2476776.392209647223,retrograde
NorthNode,229.272531227,227.501657419,82762001,83982244,2476777.035323916934,2476791.158503223211,retrograde
NorthNode,227.502360027,226.238454873,84047040,85097078,2476791.908460844308,2476804.061679589562,retrograde
NorthNode,226.247608610,224.888344646,85246153,86321960,2476805.787083071657,2476818.238547588699,retrograde
NorthNode,224.937507110,224.276643260,86617308,87449304,2476821.656931517646,2476831.286515678279,retrograde
Uranus,259.139544931,255.111133437,87244700,100475625,2476828.918413803913,2476982.054121014662,retrograde
NorthNode,224.341707818,223.795995075,87790117,88669171,2476835.231107007712,2476845.405340209603,retrograde
NorthNode,223.899963910,223.754630455,89172892,89817296,2476851.235447629355,2476858.693830832839,retrograde
Mercury,46.734614480,36.989299731,89767863,91822697,2476858.121684662998,2476881.904485628009,retrograde
NorthNode,223.803193411,223.786492021,90341091,90804789,2476864.756266067736,2476870.123143234290,retrograde
NorthNode,223.788673883,223.719544778,91025419,91712865,2476872.676728337072,2476880.633279871196,retrograde
NorthNode,223.779209196,223.554150638,92189743,92896439,2476886.152702676132,2476894.332060962915,retrograde
NorthNode,223.660330211,223.093472729,93379669,94243170,2476899.924994254485,2476909.919218793511,retrograde
NorthNode,223.145119148,222.351034814,94551325,95459741,2476913.485826583579,2476923.999899130315,retrograde
NorthNode,222.387711338,221.213792423,95729704,96766850,2476927.124472149648,2476939.128474939615,retrograde
Pluto,3.405562896,1.307657732,96016968,110268712,2476930.449292645790,2477095.400030300952,retrograde
Jupiter,352.683678806,342.797282784,96771297,107025492,2476939.179950878024,2477057.862758882344,retrograde
NorthNode,221.219633057,219.847478482,96896776,98027317,2476940.632252248004,2476953.717214730568,retrograde
NorthNode,219.847702263,218.439149088,98072913,99231255,2476954.244955131784,2476967.651689282618,retrograde
NorthNode,218.439732633,217.023695113,99290192,100412601,2476968.333822952583,2476981.324667559937,retrograde
Mercury,172.938667756,159.069807887,100520330,102507342,2476982.571531727910,2477005.569361902773,retrograde
NorthNode,217.037409035,216.023345589,100597729,101572322,2476983.467354810797,2476994.747365521267,retrograde
NorthNode,216.055286568,215.193482442,101815966,102758406,2476997.567327267490,2477008.475190049037,retrograde
NorthNode,215.284223282,214.885178381,103164942,103929899,2477013.180468014441,2477022.034135008231,retrograde
NorthNode,214.960668721,214.735914143,104350370,105111437,2477026.900705855340,2477035.709344221279,retrograde
Neptune,100.985568952,98.171452929,104876383,118390187,2477032.988813607953,2477189.398589045741,retrograde
Mars,78.068147719,61.121975893,105720682,112035005,2477042.760794297792,2477115.843233154155,retrograde
NorthNode,214.802787301,214.793804168,105727814,106098109,2477042.843342395499,2477047.129164278507,retrograde
NorthNode,214.795648265,214.747217495,106302994,106895801,2477049.500515535474,2477056.361707760952,retrograde
NorthNode,214.837230232,214.489864938,107467422,108280652,2477062.977691765875,2477072.390075147152,retrograde
NorthNode,214.568374594,214.061936906,108673846,109457349,2477076.940935418941,2477086.009260971099,retrograde
Venus,281.554512556,266.246428599,109374390,112907622,2477085.049076581374,2477125.942976018414,retrograde
NorthNode,214.139350208,212.989076174,109817726,110827630,2477090.180283985101,2477101.868985555135,retrograde
Mercury,279.534950578,263.226486273,110148149,111862153,2477094.004621557891,2477113.842635653913,retrograde
NorthNode,213.010706188,211.839410714,111030760,112032038,2477104.220030700788,2477115.808898823336,retrograde
NorthNode,211.844563325,210.110949295,112159363,113363525,2477117.282562839799,2477131.219627637416,retrograde
NorthNode,210.110951855,208.676595811,113372884,114497967,2477131.327951086685,2477144.349745900370,retrograde
Saturn,199.498219164,192.720272177,114060995,125987839,2477139.292190507054,2477277.334369428456,retrograde
NorthNode,208.680639098,207.259861838,114615497,115703119,2477145.710040578619,2477158.298260375857,retrograde
NorthNode,207.280292677,206.311486735,115902477,116844851,2477160.605647346936,2477171.512751677074,retrograde
NorthNode,206.384439107,205.764346496,117198166,118052498,2477175.602047110908,2477185.490152160637,retrograde
NorthNode,205.838772215,205.522390160,118434528,119200813,2477189.911792482249,2477198.780834654346,retrograde
Uranus,263.523461943,259.501905907,119183506,132430508,2477198.580518686213,2477351.902294768952,retrograde
Mercury,28.312847215,17.110152607,119710013,121750447,2477204.674345843494,2477228.290483109653,retrograde
NorthNode,205.620890452,205.548142826,119773302,120418121,2477205.406858173199,2477212.870048354380,retrograde
NorthNode,205.554754675,205.552916075,120751399,120963971,2477216.727424510755,2477219.187748037279,retrograde
NorthNode,205.598215393,205.403642903,121558868,122334726,2477226.073128974065,2477235.052965763025,retrograde
NorthNode,205.484359447,205.166041072,122789747,123504960,2477240.319413675927,2477248.597343840636,retrograde
NorthNode,205.251786101,204.387208534,123910348,124884622,2477253.289342250675,2477264.565656739287,retrograde
NorthNode,204.425688665,203.595028706,125152296,126050808,2477267.663736405782,2477278.063175755553,retrograde
NorthNode,203.612823714,202.062717096,126252852,127422917,2477280.401650997810,2477293.944068172947,retrograde
NorthNode,202.063918192,200.865742190,127499156,128589911,2477294.826469752938,2477307.450945816003,retrograde
Pluto,4.518097037,2.425193943,127669723,141923128,2477296.800622544251,2477461.770587931387,retrograde
NorthNode,200.865755354,199.228679863,128607387,129834704,2477307.653219203465,2477321.858274309896,retrograde
NorthNode,199.233065349,198.185107526,129953225,130935285,2477323.230039997026,2477334.596476708539,retrograde
Mercury,155.209822717,142.486501298,130533874,132578760,2477329.950511991978,2477353.618180692196,retrograde
NorthNode,198.211607067,197.182788714,131170291,132174443,2477337.316453507170,2477348.938589276746,retrograde
Jupiter,29.619210027,19.655653517,131605811,141765339,2477342.357191123068,2477459.944324232638,retrograde
NorthNode,197.233957482,196.696703153,132478312,133290338,2477352.455589971505,2477361.854037380777,retrograde
NorthNode,196.796911615,196.474814201,133741006,134528352,2477367.070098333992,2477376.182901510037,retrograde
NorthNode,196.543129890,196.459312191,135003724,135651834,2477381.684891893528,2477389.186165609397,retrograde
NorthNode,196.471982040,196.468942438,136063566,136312047,2477393.951580382884,2477396.827516398393,retrograde
Neptune,103.215532627,100.403189009,136628049,150147207,2477400.484952717088,2477556.956688859500,retrograde
NorthNode,196.516134357,196.386753948,136895187,137532337,2477403.576829019934,2477410.951248573139,retrograde
NorthNode,196.477284334,195.947743990,138010189,138887072,2477416.481936601922,2477426.631051340140,retrograde
NorthNode,196.027533892,195.405886278,139263392,140072593,2477430.986609559506,2477440.352361616679,retrograde
Mercury,263.716731463,247.438465795,140285979,141993273,2477442.822107680142,2477462.582450032234,retrograde
NorthNode,195.452852693,194.001479513,140356628,141454704,2477443.639804184437,2477456.349012582563,retrograde
NorthNode,194.013090159,192.853418502,141619270,142625593,2477458.253711945377,2477469.900969506241,retrograde
NorthNode,192.854267782,190.869471930,142692867,143958003,2477470.679601294920,2477485.322379031219,retrograde
NorthNode,190.869962627,189.682262484,144013366,145031968,2477485.963158753701,2477497.752530493774,retrograde
NorthNode,189.692746884,188.223207841,145191977,146293483,2477499.604491088539,2477512.353395871818,retrograde
NorthNode,188.264184966,187.595583274,146559783,147386716,2477515.435579873621,2477525.006555650383,retrograde
Saturn,211.738619512,204.997718613,146658907,158656239,2477516.582842968404,2477655.440857693553,retrograde
NorthNode,187.678262348,187.131710307,147766846,148640383,2477529.406212838367,2477539.516598897986,retrograde
NorthNode,187.218438089,187.065947727,149095913,149752718,2477544.788935340941,2477552.390841978602,retrograde
Mercury,10.661409554,357.931225880,149720102,151723728,2477552.013339743018,2477575.203457631171,retrograde
NorthNode,187.123446044,187.116144626,150346349,150684499,2477559.261567657813,2477563.175344250165,retrograde
NorthNode,187.122471810,187.056485800,151000758,151623607,2477566.835752744228,2477574.044653680176,retrograde
Uranus,267.872684415,263.857936669,151116056,164375578,2477568.170215920545,2477721.636907360516,retrograde
NorthNode,187.125272155,186.802899589,152116965,152919314,2477579.754816439003,2477589.041254918091,retrograde
NorthNode,186.899604217,186.410801105,153365296,154150265,2477594.203081162646,2477603.288380365819,retrograde
NorthNode,186.467274739,185.408308848,154469090,155487797,2477606.978477169760,2477618.769066836685,retrograde
NorthNode,185.435265480,184.447352280,155722593,156679483,2477621.486622564495,2477632.561730494723,retrograde
NorthNode,184.452814742,182.761102241,156808326,158045887,2477634.052976720035,2477648.376597148366,retrograde
NorthNode,182.761129836,181.597854972,158068037,159144606,2477648.632959580049,2477661.093244552612,retrograde
NorthNode,181.598808756,179.996290720,159215734,160404731,2477661.916492123157,2477675.678026284091,retrograde
Pluto,5.623099667,3.534640331,159313452,173587737,2477663.047486706637,2477828.259118883871,retrograde
Venus,135.636290870,119.167072062,159610757,163333962,2477666.488511918113,2477709.581164846197,retrograde
Mercury,136.690613247,125.333069391,160514398,162597682,2477676.947317756712,2477701.059407509863,retrograde
NorthNode,180.011676961,179.179673525,160594836,161492148,2477677.878323885612,2477688.263876957819,retrograde
NorthNode,179.218090495,178.323047278,161760955,162746244,2477691.375064769760,2477702.778869153932,retrograde
NorthNode,178.401786463,178.067842815,163133250,163854337,2477707.258114058524,2477715.604021820240,retrograde
NorthNode,178.154052238,177.945009331,164317465,165098117,2477720.964302178472,2477729.999626104720,retrograde
NorthNode,177.993267594,177.987388950,165666731,165989507,2477736.580812064931,2477740.316636558622,retrograde
NorthNode,177.989931858,177.924754694,166223567,166883786,2477743.025667326525,2477750.667085641064,retrograde
Jupiter,66.084971199,56.045316695,166319920,176491177,2477744.140869304538,2477861.863747999072,retrograde
NorthNode,178.017480706,177.744420960,167457891,168192434,2477757.311827677302,2477765.813481207937,retrograde
Neptune,105.446437172,102.635345306,168384869,181898628,2477768.040736946277,2477924.449988217093,retrograde
NorthNode,177.821328256,177.188920510,168587220,169461028,2477770.382763504051,2477780.496275769547,retrograde
NorthNode,177.262532234,176.389767934,169816936,170723156,2477784.615581287071,2477795.104249840602,retrograde
Mercury,247.904418241,231.745826782,170412276,172134729,2477791.506096653640,2477811.441894128919,retrograde
NorthNode,176.413340765,174.931244154,170934814,172042227,2477797.553987814113,2477810.371263844892,retrograde
NorthNode,174.936021879,173.600100666,172166140,173258347,2477811.805447861552,2477824.446737400256,retrograde
Mars,120.589752741,101.599251780,172231356,179011081,2477812.560264742933,2477891.029301914386,retrograde
NorthNode,173.600106139,171.758476541,173270476,174504747,2477824.587118604220,2477838.872655258514,retrograde
NorthNode,171.762481969,170.629204681,174620792,175608093,2477840.215770411305,2477851.642861442640,retrograde
NorthNode,170.648928207,169.406426353,175804941,176844298,2477853.921197606251,2477865.950792789459,retrograde
NorthNode,169.477420933,168.963718632,177188815,177966101,2477869.938262959942,2477878.934622496367,retrograde
NorthNode,169.044579333,168.658036865,178359425,179193143,2477883.486986801960,2477893.136499846354,retrograde
Saturn,223.718794020,217.013406134,179239403,191305320,2477893.671921156347,2478033.323737777770,retrograde
NorthNode,168.748150923,168.688777343,179743411,180338166,2477899.505340499803,2477906.389079399407,retrograde
Mercury,353.626499274,339.576467164,179786534,181734355,2477900.004447594285,2477922.548682063818,retrograde
NorthNode,168.694480776,168.690473573,180645187,180919548,2477909.942569249310,2477913.118042255752,retrograde
NorthNode,168.752042987,168.557390604,181549387,182282605,2477920.407837971114,2477928.894157920964,retrograde
NorthNode,168.632245942,168.225149418,182708574,183490582,2477933.824360683560,2477942.875381970778,retrograde
Uranus,272.187959907,268.181009150,183052334,196324877,2477937.803063592874,2478091.420459351502,retrograde
NorthNode,168.319010472,167.533514449,183904955,184813175,2477947.671364556067,2477958.183168883435,retrograde
NorthNode,167.567915741,166.496877068,185064251,186062498,2477961.089145087637,2477972.642927769572,retrograde
NorthNode,166.511814311,165.199578099,186253224,187337894,2477974.850396472029,2477987.404455946758,retrograde
NorthNode,165.200396649,163.688699065,187403866,188593842,2477988.168013792485,2478001.940891368315,retrograde
NorthNode,163.688849229,162.398227133,188633678,189739044,2478002.401954700239,2478015.195541199297,retrograde
NorthNode,162.403220451,161.129956456,189862079,190935451,2478016.619552460499,2478029.042846604250,retrograde
Mercury,117.383330830,107.414115345,190456129,192549214,2478023.495138503611,2478047.720654293895,retrograde
Pluto,6.720099479,4.635804089,190968766,205243345,2478029.428430520929,2478194.643463655375,retrograde
NorthNode,161.164450855,160.403763616,191198538,192086181,2478032.087826871313,2478042.361474802718,retrograde
NorthNode,160.453861305,159.832092388,192389634,193283130,2478045.873666478321,2478056.215048561804,retrograde
NorthNode,159.935295885,159.710047605,193755958,194449574,2478061.687603989616,2478069.715564274229,retrograde
NorthNode,159.773185822,159.689091870,194925631,195637025,2478075.225484148599,2478083.459205936641,retrograde
NorthNode,159.693569389,159.683898460,195922659,196302877,2478086.765157178044,2478091.165832109749,retrograde
NorthNode,159.725842346,159.588928042,196821915,197471927,2478097.173217547126,2478104.696495606564,retrograde
NorthNode,159.695722974,159.200438418,197992239,198846510,2478110.718626547605,2478120.606027839705,retrograde
NorthNode,159.265214880,158.597299238,199189247,200034046,2478124.572891131043,2478134.350658701733,retrograde
Neptune,107.677568085,104.867756221,200134418,213652407,2478135.512363589369,2478291.970570390113,retrograde
NorthNode,158.650695616,157.398961020,200341585,201383824,2478137.910135945305,2478149.973084952682,retrograde
Mercury,232.020437418,216.069295846,200523784,202282026,2478140.018925353885,2478160.368943810463,retrograde
Jupiter,100.867853988,90.798526246,200837417,211098096,2478143.648927979171,2478262.406786575913,retrograde
NorthNode,157.409432190,156.087130930,201539995,202609485,2478151.780621959828,2478164.158973952755,retrograde
NorthNode,156.088138702,154.431754042,202683090,203874594,2478165.010885188356,2478178.801439391449,retrograde
NorthNode,154.432026573,152.982144758,203919128,205022523,2478179.316886150278,2478192.087658899836,retrograde
NorthNode,152.994065981,151.783455468,205193901,206212192,2478194.071202655323,2478205.856971394271,retrograde
NorthNode,151.816970136,150.948244881,206453686,207370285,2478208.652046813630,2478219.260828120634,retrograde
NorthNode,151.044969945,150.599201573,207777716,208567562,2478223.976462661289,2478233.118206884712,retrograde
NorthNode,150.677506441,150.471487662,208991316,209726235,2478238.022765756585,2478246.528769179247,retrograde
Mercury,337.027140965,321.984837683,209891878,211775803,2478248.445928290486,2478270.250622719526,retrograde
NorthNode,150.535424885,150.531058059,210354461,210634437,2478253.799905684777,2478257.040361386724,retrograde
Venus,356.851158334,340.775561447,210394719,214001483,2478254.265851834789,2478296.010804289952,retrograde
NorthNode,150.536796565,150.477180438,210939152,211533219,2478260.567165050656,2478267.442932728678,retrograde
Saturn,235.477944109,228.804895862,211813624,223926998,2478270.688363112509,2478410.889450110495,retrograde
NorthNode,150.566494571,150.189257061,212082792,212915145,2478273.803736982867,2478283.437453651801,retrograde
NorthNode,150.268517132,149.780899330,213310333,214083909,2478288.011390846223,2478296.964812608436,retrograde
NorthNode,149.850182104,148.696492897,214431546,215463631,2478300.988389127888,2478312.933819019236,retrograde
Uranus,276.471917690,272.473419544,214979543,228261525,2478307.330949162133,2478461.057589924894,retrograde
NorthNode,148.717087435,147.682347478,215668129,216641978,2478315.300696625374,2478326.572087347507,retrograde
NorthNode,147.687563943,145.992865049,216771938,217997672,2478328.076258582994,2478342.262996366248,retrograde
NorthNode,145.992871427,144.749106970,218010748,219110963,2478342.414335730486,2478355.148304315284,retrograde
NorthNode,144.751204274,143.295674040,219206813,220343986,2478356.257681330666,2478369.419408204965,retrograde
Mercury,97.488796872,88.582562383,220354125,222432822,2478369.536750428379,2478393.595748864114,retrograde
NorthNode,143.310447248,142.413796799,220526296,221458667,2478371.529473799281,2478382.320801815949,retrograde
NorthNode,142.467277581,141.736971633,221774430,222688909,2478385.975471824408,2478396.559723816812,retrograde
Pluto,7.809001263,5.728834406,222624254,236895933,2478395.811397531070,2478560.992864216678,retrograde
NorthNode,141.803074036,141.444637335,223047950,223815641,2478400.715287437662,2478409.600594656542,retrograde
NorthNode,141.546667270,141.400786936,224342432,225048464,2478415.697711037472,2478423.869378530420,retrograde
NorthNode,141.435314482,141.431928811,225572758,225837064,2478429.937596083619,2478432.996696672402,retrograde
NorthNode,141.438750067,141.342198177,226176507,226906935,2478436.925440270454,2478445.379467470571,retrograde
NorthNode,141.419933298,141.187348442,227417664,228098471,2478451.290682485327,2478459.170388237573,retrograde
NorthNode,141.277232438,140.548530570,228530326,229468432,2478464.168711719103,2478475.026421791874,retrograde
NorthNode,140.604565675,139.854873485,229783001,230638827,2478478.667270337231,2478488.572653902695,retrograde
Mercury,215.980907866,200.356108653,230618181,232429680,2478488.333702281117,2478509.300121583045,retrograde
NorthNode,139.883227351,138.302051275,230873769,232023766,2478491.291896842420,2478504.602041678503,retrograde
Neptune,109.908131667,107.098861750,231892300,245406146,2478503.080447665416,2478659.490698543377,retrograde
NorthNode,138.305722221,137.089954328,232134087,233192699,2478505.878908776678,2478518.131358277053,retrograde
NorthNode,137.089972327,135.207800250,233211457,234470165,2478518.348466061987,2478532.916844761930,retrograde
NorthNode,135.210827676,134.089575297,234572618,235552402,2478534.102651991881,2478545.442739790305,retrograde
Jupiter,133.590777871,123.539682901,235153750,245552261,2478540.828716076910,2478661.181850329041,retrograde
NorthNode,134.111776949,132.877484730,235764066,236807272,2478547.892548838630,2478559.966702910140,retrograde
NorthNode,132.933661600,132.371846649,237113517,237909520,2478563.511204457842,2478572.724197068252,retrograde
Mars,155.468405772,135.964105084,238311463,245299602,2478577.376317619346,2478658.257558052428,retrograde
NorthNode,132.472861088,132.101140291,238344401,239158548,2478577.757547760382,2478587.180535908788,retrograde
NorthNode,132.176465321,132.100638772,239649042,240274455,2478592.857559546828,2478600.096127466299,retrograde
Mercury,320.737981260,305.034794436,240021530,241842998,2478597.168759956956,2478618.250560440123,retrograde
NorthNode,132.109476103,132.103770825,240623633,240926821,2478604.137542611919,2478607.646668886766,retrograde
NorthNode,132.161827565,132.007227274,241523908,242181216,2478614.557394378819,2478622.165123767219,retrograde
NorthNode,132.094601943,131.551956508,242636439,243507956,2478627.433911698870,2478637.520909098908,retrograde
NorthNode,131.634274363,130.980947342,243889452,244715916,2478641.936378897168,2478651.501925670542,retrograde
Saturn,247.060281231,240.414477337,244373574,256525707,2478647.539640955627,2478788.189324185252,retrograde
NorthNode,131.021187355,129.627969219,244983273,246078174,2478654.596339936368,2478667.268803185783,retrograde
